metrics,LSTM_PREPAD_ONEHOT,LSTM_PREPAD_EMBEDDED,LSTM_PREPAD_FREQBASED,LSTM_CONT_ONEHOT,LSTM_CONT_EMBEDDED,LSTM_CONT_FREQBASED,CNN_PREPAD_ONEHOT,CNN_PREPAD_EMBEDDED,CNN_PREPAD_FREQBASED,CNN_CONT_ONEHOT,CNN_CONT_EMBEDDED,CNN_CONT_FREQBASED,DT_PREPAD_ONEHOT,DT_PREPAD_EMBEDDED,DT_PREPAD_FREQBASED,DT_CONT_ONEHOT,DT_CONT_EMBEDDED,DT_CONT_FREQBASED,end
#total_events,0.176,\textbf{0.275},\textbf{0.434},0.126,0.119,\textbf{0.385},\textbf{0.447},\textbf{0.449},\textbf{0.398},\textbf{0.459},\textbf{0.402},\textbf{0.417},0.002,-0.03,0.134,-0.015,-0.006,0.189,\\
#events,0.075,0.097,\underline{0.278},0.018,0.014,\underline{0.269},\textbf{0.302},\underline{0.249},\textbf{0.296},\textbf{0.329},0.155,\textbf{0.3},-0.084,-0.124,0.118,-0.088,-0.093,0.124,\\
#traces,\underline{0.233},\textbf{0.331},\textbf{0.476},0.145,0.162,\textbf{0.398},\textbf{0.472},\textbf{0.505},\textbf{0.449},\textbf{0.469},\textbf{0.485},\textbf{0.436},0.037,0.001,0.149,0.023,0.023,0.192,\\
min_trace,-0.192,\underline{-0.246},-0.175,-0.209,\underline{-0.27},-0.201,-0.19,-0.173,-0.164,-0.186,-0.177,-0.184,\underline{-0.277},\underline{-0.272},-0.161,\underline{-0.27},\underline{-0.279},-0.195,\\
max_trace,-0.097,-0.037,0.168,-0.059,-0.032,0.175,\underline{0.213},0.149,0.168,\underline{0.235},0.136,0.17,-0.149,-0.196,-0.062,-0.175,-0.175,-0.062,\\
avg_trace,\underline{-0.228},-0.168,0.01,-0.18,\underline{-0.223},0.018,0.06,0.033,0.041,0.056,0.024,0.056,\textbf{-0.289},\textbf{-0.329},-0.173,\textbf{-0.314},\textbf{-0.314},-0.152,\\
l_detail,-0.1,-0.068,0.083,-0.137,-0.165,0.076,0.129,0.119,0.127,0.121,0.076,0.138,\underline{-0.242},\textbf{-0.282},-0.066,\underline{-0.267},\textbf{-0.275},-0.058,\\
#ties,-0.059,0.028,\textbf{0.279},-0.122,-0.112,\underline{0.235},\textbf{0.275},\textbf{0.277},\textbf{0.281},\textbf{0.271},\underline{0.258},\textbf{0.271},\underline{-0.233},\underline{-0.269},-0.03,\underline{-0.246},\underline{-0.241},-0.004,\\
lz_compl,0.132,\underline{0.215},\textbf{0.405},0.066,0.075,\textbf{0.34},\textbf{0.399},\textbf{0.414},\textbf{0.382},\textbf{0.407},\textbf{0.361},\textbf{0.371},-0.05,-0.086,0.095,-0.067,-0.067,0.133,\\
unique_t,\textbf{-0.66},\textbf{-0.594},\textbf{-0.278},\textbf{-0.623},\textbf{-0.598},\textbf{-0.317},\textbf{-0.327},\textbf{-0.3},\textbf{-0.28},\textbf{-0.358},\underline{-0.254},\textbf{-0.291},\textbf{-0.643},\textbf{-0.654},\textbf{-0.446},\textbf{-0.662},\textbf{-0.66},\textbf{-0.461},\\
struc,\textbf{0.456},\textbf{0.356},0.197,\textbf{0.47},\textbf{0.443},\underline{0.256},\underline{0.237},0.146,0.142,\textbf{0.318},0.059,0.159,\textbf{0.468},\textbf{0.445},\textbf{0.356},\textbf{0.472},\textbf{0.477},\textbf{0.322},\\
avg_aff,\textbf{0.369},\textbf{0.388},0.131,\textbf{0.463},\textbf{0.417},0.144,0.199,0.186,0.106,\underline{0.216},\underline{0.212},0.121,\textbf{0.428},\textbf{0.422},\textbf{0.281},\textbf{0.428},\textbf{0.419},\textbf{0.298},\\
dev_rand,\textbf{-0.28},\underline{-0.244},0.0,\textbf{-0.341},\textbf{-0.354},-0.008,0.002,-0.013,0.066,-0.013,-0.074,0.062,\textbf{-0.426},\textbf{-0.458},-0.192,\textbf{-0.45},\textbf{-0.454},-0.19,\\
var_ent,-0.122,-0.035,\underline{0.236},-0.186,-0.17,0.191,\underline{0.213},\underline{0.227},\underline{0.255},\underline{0.208},\underline{0.225},\underline{0.227},\textbf{-0.278},\textbf{-0.314},-0.08,\textbf{-0.308},\textbf{-0.308},-0.058,\\
nvar_ent,-0.006,0.047,\textbf{0.286},-0.12,-0.106,0.197,0.189,\textbf{0.292},\underline{0.252},0.155,\textbf{0.282},\underline{0.242},-0.191,\underline{-0.218},-0.026,-0.195,-0.186,-0.026,\\
seq_ent,0.065,0.164,\textbf{0.38},0.006,0.012,\textbf{0.306},\textbf{0.356},\textbf{0.375},\textbf{0.352},\textbf{0.365},\textbf{0.352},\textbf{0.346},-0.1,-0.141,0.05,-0.122,-0.117,0.097,\\
nseq_ent,\textbf{-0.38},\textbf{-0.347},-0.033,\textbf{-0.409},\textbf{-0.406},-0.082,-0.092,-0.09,-0.022,-0.084,-0.092,-0.052,\textbf{-0.478},\textbf{-0.501},\textbf{-0.272},\textbf{-0.512},\textbf{-0.506},\textbf{-0.321},\\
