metrics,LSTM_PREPAD_ONEHOT,LSTM_PREPAD_EMBEDDED,LSTM_PREPAD_FREQBASED,LSTM_CONT_ONEHOT,LSTM_CONT_EMBEDDED,LSTM_CONT_FREQBASED,CNN_PREPAD_ONEHOT,CNN_PREPAD_EMBEDDED,CNN_PREPAD_FREQBASED,CNN_CONT_ONEHOT,CNN_CONT_EMBEDDED,CNN_CONT_FREQBASED,DT_PREPAD_ONEHOT,DT_PREPAD_EMBEDDED,DT_PREPAD_FREQBASED,DT_CONT_ONEHOT,DT_CONT_EMBEDDED,DT_CONT_FREQBASED
#total_events,0.176;0.093,0.275;0.009,0.434;0.0,0.126;0.229,0.119;0.257,0.385;0.0,0.447;0.0,0.449;0.0,0.398;0.0,0.459;0.0,0.402;0.0,0.417;0.0,0.002;0.984,-0.03;0.777,0.134;0.202,-0.015;0.887,-0.006;0.952,0.189;0.072
#events,0.075;0.493,0.097;0.373,0.278;0.011,0.018;0.87,0.014;0.894,0.269;0.014,0.302;0.006,0.249;0.022,0.296;0.007,0.329;0.003,0.155;0.155,0.3;0.006,-0.084;0.443,-0.124;0.256,0.118;0.282,-0.088;0.419,-0.093;0.395,0.124;0.255
#traces,0.233;0.032,0.331;0.002,0.476;0.0,0.145;0.183,0.162;0.138,0.398;0.0,0.472;0.0,0.505;0.0,0.449;0.0,0.469;0.0,0.485;0.0,0.436;0.0,0.037;0.735,0.001;0.992,0.149;0.173,0.023;0.83,0.023;0.83,0.192;0.08
min_trace,-0.192;0.076,-0.246;0.024,-0.175;0.107,-0.209;0.054,-0.27;0.013,-0.201;0.063,-0.19;0.079,-0.173;0.111,-0.164;0.131,-0.186;0.087,-0.177;0.103,-0.184;0.09,-0.277;0.011,-0.272;0.012,-0.161;0.139,-0.27;0.013,-0.279;0.01,-0.195;0.074
max_trace,-0.097;0.361,-0.037;0.73,0.168;0.113,-0.059;0.577,-0.032;0.761,0.175;0.1,0.213;0.044,0.149;0.161,0.168;0.113,0.235;0.027,0.136;0.201,0.17;0.109,-0.149;0.161,-0.196;0.065,-0.062;0.562,-0.175;0.1,-0.175;0.1,-0.062;0.562
avg_trace,-0.228;0.03,-0.168;0.108,0.01;0.927,-0.18;0.085,-0.223;0.033,0.018;0.863,0.06;0.564,0.033;0.754,0.041;0.693,0.056;0.592,0.024;0.816,0.056;0.592,-0.289;0.006,-0.329;0.002,-0.173;0.099,-0.314;0.003,-0.314;0.003,-0.152;0.148
l_detail,-0.1;0.342,-0.068;0.517,0.083;0.43,-0.137;0.192,-0.165;0.115,0.076;0.466,0.129;0.217,0.119;0.257,0.127;0.225,0.121;0.249,0.076;0.466,0.138;0.188,-0.242;0.021,-0.282;0.007,-0.066;0.53,-0.267;0.011,-0.275;0.009,-0.058;0.585
lz_compl,0.132;0.206,0.215;0.04,0.405;0.0,0.066;0.531,0.075;0.473,0.34;0.001,0.399;0.0,0.414;0.0,0.382;0.0,0.407;0.0,0.361;0.001,0.371;0.0,-0.05;0.635,-0.086;0.413,0.095;0.368,-0.067;0.524,-0.067;0.524,0.133;0.206
unique_t,-0.66;0.0,-0.594;0.0,-0.278;0.009,-0.623;0.0,-0.598;0.0,-0.317;0.003,-0.327;0.002,-0.3;0.005,-0.28;0.008,-0.358;0.001,-0.254;0.016,-0.291;0.006,-0.643;0.0,-0.654;0.0,-0.446;0.0,-0.662;0.0,-0.66;0.0,-0.461;0.0
struc,0.456;0.0,0.356;0.001,0.197;0.06,0.47;0.0,0.443;0.0,0.256;0.014,0.237;0.023,0.146;0.163,0.142;0.175,0.318;0.002,0.059;0.571,0.159;0.129,0.468;0.0,0.445;0.0,0.356;0.001,0.472;0.0,0.477;0.0,0.322;0.002
avg_aff,0.369;0.0,0.388;0.0,0.131;0.21,0.463;0.0,0.417;0.0,0.144;0.169,0.199;0.057,0.186;0.075,0.106;0.312,0.216;0.039,0.212;0.043,0.121;0.249,0.428;0.0,0.422;0.0,0.281;0.008,0.428;0.0,0.419;0.0,0.298;0.005
dev_rand,-0.28;0.008,-0.244;0.02,0.0;1.0,-0.341;0.001,-0.354;0.001,-0.008;0.935,0.002;0.984,-0.013;0.903,0.066;0.53,-0.013;0.903,-0.074;0.479,0.062;0.557,-0.426;0.0,-0.458;0.0,-0.192;0.068,-0.45;0.0,-0.454;0.0,-0.19;0.071
#ties,-0.059;0.571,0.028;0.793,0.279;0.008,-0.122;0.245,-0.112;0.284,0.235;0.025,0.275;0.009,0.277;0.008,0.281;0.007,0.271;0.01,0.258;0.014,0.271;0.01,-0.233;0.026,-0.269;0.01,-0.03;0.777,-0.246;0.019,-0.241;0.021,-0.004;0.968
