metrics,LSTM_PREPAD_ONEHOT,LSTM_PREPAD_EMBEDDED,LSTM_PREPAD_FREQBASED,LSTM_CONT_ONEHOT,LSTM_CONT_EMBEDDED,LSTM_CONT_FREQBASED,CNN_PREPAD_ONEHOT,CNN_PREPAD_EMBEDDED,CNN_PREPAD_FREQBASED,CNN_CONT_ONEHOT,CNN_CONT_EMBEDDED,CNN_CONT_FREQBASED,DT_PREPAD_ONEHOT,DT_PREPAD_EMBEDDED,DT_PREPAD_FREQBASED,DT_CONT_ONEHOT,DT_CONT_EMBEDDED,DT_CONT_FREQBASED
#total_events,0.178;0.089,0.305;0.004,0.44;0.0,0.135;0.195,0.133;0.202,0.394;0.0,0.428;0.0,0.478;0.0,0.392;0.0,0.474;0.0,0.434;0.0,0.392;0.0,0.057;0.585,0.004;0.968,0.198;0.06,0.034;0.746,0.042;0.686,0.236;0.025
#events,0.084;0.443,0.117;0.282,0.3;0.006,0.037;0.735,0.017;0.878,0.271;0.013,0.318;0.004,0.264;0.015,0.324;0.003,0.34;0.002,0.182;0.095,0.293;0.007,0.008;0.943,-0.059;0.587,0.18;0.099,-0.066;0.546,-0.059;0.587,0.178;0.103
#traces,0.235;0.031,0.365;0.001,0.461;0.0,0.166;0.127,0.175;0.108,0.398;0.0,0.454;0.0,0.539;0.0,0.44;0.0,0.476;0.0,0.501;0.0,0.432;0.0,0.095;0.384,0.037;0.735,0.214;0.05,0.075;0.493,0.075;0.493,0.239;0.029
min_trace,-0.159;0.142,-0.221;0.041,-0.135;0.213,-0.199;0.066,-0.248;0.022,-0.177;0.103,-0.161;0.136,-0.144;0.185,-0.131;0.229,-0.168;0.121,-0.153;0.159,-0.184;0.09,-0.263;0.015,-0.243;0.025,-0.15;0.168,-0.246;0.024,-0.25;0.021,-0.17;0.118
max_trace,-0.091;0.394,-0.058;0.584,0.19;0.074,-0.039;0.715,-0.009;0.935,0.183;0.084,0.224;0.035,0.153;0.149,0.192;0.071,0.261;0.014,0.166;0.118,0.177;0.096,-0.088;0.405,-0.136;0.201,0.008;0.943,-0.129;0.223,-0.125;0.239,0.001;0.992
avg_trace,-0.204;0.051,-0.149;0.154,0.046;0.664,-0.168;0.108,-0.179;0.087,0.035;0.739,0.084;0.424,0.075;0.473,0.073;0.485,0.101;0.337,0.06;0.564,0.05;0.634,-0.204;0.051,-0.257;0.014,-0.108;0.307,-0.257;0.014,-0.253;0.016,-0.076;0.472
l_detail,-0.093;0.373,-0.038;0.716,0.119;0.257,-0.131;0.21,-0.142;0.175,0.085;0.418,0.14;0.182,0.165;0.115,0.159;0.129,0.136;0.195,0.121;0.249,0.142;0.175,-0.159;0.129,-0.212;0.043,0.0;1.0,-0.216;0.039,-0.22;0.035,0.009;0.935
lz_compl,0.134;0.199,0.244;0.019,0.42;0.0,0.071;0.498,0.081;0.436,0.34;0.001,0.378;0.0,0.452;0.0,0.38;0.0,0.409;0.0,0.388;0.0,0.354;0.001,0.01;0.927,-0.043;0.678,0.163;0.121,-0.014;0.895,-0.014;0.895,0.184;0.08
unique_t,-0.617;0.0,-0.581;0.0,-0.246;0.02,-0.617;0.0,-0.577;0.0,-0.304;0.004,-0.287;0.007,-0.261;0.014,-0.248;0.019,-0.321;0.002,-0.218;0.039,-0.274;0.01,-0.609;0.0,-0.594;0.0,-0.444;0.0,-0.615;0.0,-0.604;0.0,-0.454;0.0
struc,0.449;0.0,0.343;0.001,0.193;0.066,0.462;0.0,0.419;0.0,0.218;0.037,0.212;0.043,0.117;0.266,0.153;0.145,0.29;0.006,0.034;0.746,0.144;0.169,0.513;0.0,0.472;0.0,0.379;0.0,0.46;0.0,0.472;0.0,0.364;0.001
avg_aff,0.358;0.001,0.388;0.0,0.112;0.284,0.451;0.0,0.415;0.0,0.144;0.169,0.15;0.151,0.174;0.097,0.078;0.454,0.214;0.041,0.176;0.093,0.087;0.407,0.364;0.001,0.379;0.0,0.256;0.015,0.417;0.0,0.413;0.0,0.285;0.007
dev_rand,-0.267;0.011,-0.227;0.03,0.032;0.761,-0.322;0.002,-0.354;0.001,-0.002;0.984,0.049;0.642,0.006;0.952,0.098;0.352,0.011;0.919,-0.04;0.701,0.062;0.557,-0.341;0.001,-0.386;0.0,-0.132;0.209,-0.416;0.0,-0.409;0.0,-0.147;0.162
#ties,-0.049;0.642,0.057;0.585,0.307;0.003,-0.104;0.322,-0.093;0.373,0.243;0.02,0.296;0.005,0.311;0.003,0.309;0.003,0.286;0.006,0.298;0.004,0.267;0.011,-0.14;0.182,-0.201;0.055,0.043;0.686,-0.193;0.066,-0.188;0.072,0.043;0.686
var_ent,-0.115;0.27,-0.001;0.992,0.259;0.013,-0.166;0.112,-0.134;0.199,0.213;0.042,0.246;0.018,0.265;0.011,0.282;0.007,0.232;0.027,0.261;0.012,0.236;0.024,-0.194;0.064,-0.251;0.017,-0.007;0.944,-0.251;0.017,-0.246;0.018,-0.007;0.944
nvar_ent,0.0;1.0,0.072;0.492,0.288;0.006,-0.11;0.293,-0.095;0.363,0.197;0.06,0.21;0.045,0.301;0.004,0.25;0.017,0.148;0.157,0.305;0.004,0.25;0.017,-0.102;0.331,-0.163;0.119,0.03;0.777,-0.15;0.151,-0.155;0.14,0.009;0.935
seq_ent,0.062;0.551,0.194;0.064,0.395;0.0,0.024;0.816,0.035;0.739,0.318;0.002,0.348;0.001,0.409;0.0,0.367;0.0,0.375;0.0,0.384;0.0,0.337;0.001,-0.041;0.693,-0.094;0.368,0.114;0.279,-0.069;0.511,-0.065;0.537,0.148;0.159
