metrics,LSTM_PREPAD_ONEHOT,LSTM_PREPAD_EMBEDDED,LSTM_PREPAD_FREQBASED,LSTM_CONT_ONEHOT,LSTM_CONT_EMBEDDED,LSTM_CONT_FREQBASED,CNN_PREPAD_ONEHOT,CNN_PREPAD_EMBEDDED,CNN_PREPAD_FREQBASED,CNN_CONT_ONEHOT,CNN_CONT_EMBEDDED,CNN_CONT_FREQBASED,DT_PREPAD_ONEHOT,DT_PREPAD_EMBEDDED,DT_PREPAD_FREQBASED,DT_CONT_ONEHOT,DT_CONT_EMBEDDED,DT_CONT_FREQBASED
#total_events,0.151;0.327,0.191;0.215,0.296;0.051,0.135;0.381,0.149;0.333,0.279;0.067,0.249;0.103,0.289;0.057,0.255;0.095,0.234;0.127,0.35;0.02,0.265;0.082,0.127;0.41,0.119;0.44,0.18;0.244,0.134;0.388,0.133;0.391,0.21;0.171
#events,0.194;0.206,0.235;0.125,0.428;0.004,0.159;0.302,0.161;0.295,0.444;0.003,0.49;0.001,0.522;0.0,0.501;0.001,0.478;0.001,0.311;0.04,0.508;0.0,0.018;0.909,-0.015;0.925,0.272;0.074,-0.008;0.96,-0.007;0.966,0.278;0.067
#traces,0.134;0.387,0.163;0.29,0.248;0.105,0.129;0.402,0.141;0.363,0.233;0.128,0.197;0.199,0.23;0.134,0.204;0.183,0.19;0.216,0.289;0.057,0.215;0.162,0.134;0.387,0.127;0.41,0.165;0.286,0.14;0.363,0.14;0.365,0.19;0.217
min_trace,-0.514;0.0,-0.548;0.0,-0.233;0.127,-0.452;0.002,-0.449;0.002,-0.298;0.05,-0.274;0.072,-0.285;0.061,-0.243;0.112,-0.272;0.074,-0.247;0.106,-0.278;0.068,-0.548;0.0,-0.588;0.0,-0.292;0.054,-0.542;0.0,-0.561;0.0,-0.322;0.033
max_trace,-0.039;0.799,-0.011;0.943,0.175;0.256,-0.042;0.789,-0.022;0.889,0.174;0.26,0.254;0.096,0.171;0.268,0.188;0.222,0.266;0.081,0.158;0.305,0.196;0.201,-0.144;0.352,-0.17;0.27,-0.051;0.744,-0.186;0.227,-0.189;0.22,-0.017;0.912
avg_trace,-0.407;0.006,-0.408;0.006,-0.031;0.844,-0.317;0.036,-0.299;0.049,-0.056;0.719,0.02;0.897,-0.03;0.846,0.008;0.961,0.031;0.841,-0.061;0.696,-0.003;0.987,-0.458;0.002,-0.52;0.0,-0.197;0.201,-0.478;0.001,-0.493;0.001,-0.185;0.23
l_detail,-0.275;0.07,-0.265;0.082,0.103;0.504,-0.254;0.096,-0.248;0.104,0.055;0.725,0.141;0.361,0.135;0.383,0.156;0.312,0.11;0.476,0.04;0.797,0.135;0.382,-0.42;0.004,-0.467;0.001,-0.054;0.725,-0.437;0.003,-0.451;0.002,-0.071;0.647
lz_compl,0.167;0.28,0.226;0.141,0.38;0.011,0.119;0.442,0.137;0.374,0.358;0.017,0.343;0.023,0.397;0.008,0.352;0.019,0.309;0.041,0.437;0.003,0.362;0.016,0.076;0.622,0.066;0.671,0.191;0.214,0.077;0.617,0.076;0.622,0.228;0.136
unique_t,-0.756;0.0,-0.701;0.0,-0.314;0.038,-0.757;0.0,-0.739;0.0,-0.336;0.026,-0.333;0.027,-0.353;0.019,-0.26;0.088,-0.362;0.016,-0.325;0.031,-0.319;0.035,-0.81;0.0,-0.817;0.0,-0.415;0.005,-0.828;0.0,-0.826;0.0,-0.473;0.001
struc,0.578;0.0,0.495;0.001,0.221;0.15,0.712;0.0,0.681;0.0,0.317;0.036,0.267;0.079,0.244;0.111,0.165;0.284,0.37;0.013,0.161;0.298,0.211;0.168,0.766;0.0,0.748;0.0,0.385;0.01,0.764;0.0,0.768;0.0,0.464;0.002
avg_aff,0.43;0.004,0.444;0.003,0.191;0.214,0.523;0.0,0.527;0.0,0.166;0.28,0.235;0.124,0.25;0.102,0.165;0.286,0.237;0.121,0.378;0.011,0.191;0.215,0.557;0.0,0.545;0.0,0.26;0.088,0.579;0.0,0.572;0.0,0.3;0.048
dev_rand,-0.305;0.044,-0.288;0.058,-0.0;1.0,-0.377;0.012,-0.4;0.007,-0.008;0.957,0.043;0.784,0.051;0.74,0.103;0.506,0.027;0.861,-0.113;0.464,0.086;0.58,-0.547;0.0,-0.572;0.0,-0.148;0.337,-0.58;0.0,-0.58;0.0,-0.19;0.217
#ties,0.054;0.729,0.106;0.493,0.23;0.134,-0.016;0.917,0.001;0.994,0.205;0.182,0.233;0.128,0.275;0.07,0.232;0.129,0.188;0.221,0.302;0.047,0.225;0.142,-0.077;0.62,-0.084;0.589,0.044;0.776,-0.084;0.589,-0.086;0.579,0.061;0.695
