metrics,LSTM_PREPAD_ONEHOT,LSTM_PREPAD_EMBEDDED,LSTM_PREPAD_FREQBASED,LSTM_CONT_ONEHOT,LSTM_CONT_EMBEDDED,LSTM_CONT_FREQBASED,CNN_PREPAD_ONEHOT,CNN_PREPAD_EMBEDDED,CNN_PREPAD_FREQBASED,CNN_CONT_ONEHOT,CNN_CONT_EMBEDDED,CNN_CONT_FREQBASED,DT_PREPAD_ONEHOT,DT_PREPAD_EMBEDDED,DT_PREPAD_FREQBASED,DT_CONT_ONEHOT,DT_CONT_EMBEDDED,DT_CONT_FREQBASED
#total_events,0.184;0.078,0.311;0.003,0.451;0.0,0.167;0.11,0.138;0.189,0.387;0.0,0.44;0.0,0.521;0.0,0.421;0.0,0.459;0.0,0.468;0.0,0.366;0.0,0.034;0.746,0.006;0.952,0.243;0.021,0.059;0.571,0.078;0.454,0.285;0.007
#events,0.088;0.419,0.146;0.18,0.302;0.006,0.059;0.587,0.028;0.798,0.249;0.022,0.34;0.002,0.287;0.009,0.34;0.002,0.356;0.001,0.195;0.073,0.293;0.007,-0.003;0.975,-0.021;0.846,0.219;0.046,-0.057;0.602,-0.05;0.645,0.198;0.07
#traces,0.235;0.031,0.374;0.001,0.467;0.0,0.197;0.07,0.175;0.108,0.389;0.0,0.454;0.0,0.552;0.0,0.454;0.0,0.472;0.0,0.527;0.0,0.414;0.0,0.077;0.48,0.059;0.587,0.279;0.011,0.113;0.301,0.126;0.247,0.308;0.005
min_trace,-0.148;0.172,-0.19;0.079,-0.135;0.213,-0.144;0.185,-0.21;0.053,-0.179;0.098,-0.113;0.298,-0.135;0.213,-0.124;0.253,-0.124;0.253,-0.137;0.206,-0.146;0.178,-0.208;0.055,-0.19;0.079,-0.126;0.249,-0.234;0.031,-0.252;0.02,-0.15;0.168
max_trace,-0.037;0.73,-0.022;0.839,0.209;0.049,0.009;0.935,-0.006;0.951,0.183;0.084,0.252;0.018,0.207;0.051,0.218;0.04,0.289;0.007,0.198;0.062,0.192;0.071,-0.112;0.291,-0.123;0.247,0.023;0.831,-0.099;0.35,-0.088;0.405,0.057;0.59
avg_trace,-0.16;0.127,-0.151;0.148,0.052;0.62,-0.113;0.279,-0.156;0.137,0.02;0.848,0.126;0.229,0.109;0.297,0.094;0.368,0.141;0.178,0.098;0.347,0.079;0.448,-0.215;0.04,-0.234;0.025,-0.08;0.448,-0.228;0.03,-0.23;0.028,-0.039;0.708
l_detail,-0.091;0.384,-0.028;0.793,0.117;0.266,-0.07;0.504,-0.121;0.249,0.066;0.531,0.191;0.069,0.178;0.089,0.176;0.093,0.163;0.119,0.138;0.188,0.167;0.11,-0.165;0.115,-0.172;0.101,0.032;0.761,-0.191;0.069,-0.197;0.06,0.045;0.671
lz_compl,0.158;0.132,0.268;0.01,0.441;0.0,0.149;0.154,0.094;0.368,0.337;0.001,0.433;0.0,0.485;0.0,0.416;0.0,0.433;0.0,0.414;0.0,0.35;0.001,0.007;0.944,0.001;0.992,0.25;0.017,0.045;0.664,0.056;0.592,0.267;0.011
unique_t,-0.54;0.0,-0.523;0.0,-0.227;0.032,-0.527;0.0,-0.527;0.0,-0.291;0.006,-0.216;0.041,-0.229;0.031,-0.224;0.034,-0.242;0.022,-0.175;0.098,-0.246;0.02,-0.585;0.0,-0.546;0.0,-0.375;0.0,-0.549;0.0,-0.559;0.0,-0.405;0.0
struc,0.417;0.0,0.337;0.001,0.197;0.06,0.422;0.0,0.411;0.0,0.203;0.052,0.186;0.075,0.129;0.217,0.163;0.119,0.271;0.01,0.008;0.935,0.144;0.169,0.477;0.0,0.449;0.0,0.347;0.001,0.383;0.0,0.394;0.0,0.313;0.003
avg_aff,0.339;0.001,0.32;0.002,0.108;0.302,0.434;0.0,0.398;0.0,0.148;0.157,0.117;0.266,0.157;0.134,0.07;0.504,0.191;0.069,0.136;0.195,0.076;0.466,0.36;0.001,0.36;0.001,0.224;0.033,0.4;0.0,0.405;0.0,0.302;0.004
dev_rand,-0.246;0.019,-0.201;0.055,0.023;0.824,-0.282;0.007,-0.341;0.001,-0.017;0.871,0.091;0.384,0.028;0.793,0.108;0.302,0.032;0.761,-0.019;0.855,0.083;0.43,-0.339;0.001,-0.339;0.001,-0.079;0.454,-0.384;0.0,-0.386;0.0,-0.087;0.406
#ties,0.0;1.0,0.085;0.418,0.311;0.003,-0.03;0.777,-0.068;0.517,0.237;0.023,0.351;0.001,0.362;0.001,0.341;0.001,0.339;0.001,0.328;0.002,0.284;0.007,-0.133;0.202,-0.14;0.182,0.13;0.217,-0.129;0.217,-0.114;0.275,0.13;0.217
