name,LSTM_PREPAD_ONEHOT,LSTM_PREPAD_EMBEDDED,LSTM_PREPAD_FREQBASED,LSTM_CONT_ONEHOT,LSTM_CONT_EMBEDDED,LSTM_CONT_FREQBASED,CNN_PREPAD_ONEHOT,CNN_PREPAD_EMBEDDED,CNN_PREPAD_FREQBASED,CNN_CONT_ONEHOT,CNN_CONT_EMBEDDED,CNN_CONT_FREQBASED,DT_PREPAD_ONEHOT,DT_PREPAD_EMBEDDED,DT_PREPAD_FREQBASED,DT_CONT_ONEHOT,DT_CONT_EMBEDDED,DT_CONT_FREQBASED
PD_3_10,14.36423;1.6173,13.77176;1.66633,12.21785;3.65626,15.97262;2.99388,11.54748;1.14931,14.55434;5.17843,3.38251;0.42154,4.02203;0.27514,56.97077;8.91802,3.32932;0.37631,3.60538;0.36595,60.3136;2.69325,0.00204;0.00043,0.00318;0.00086,0.00165;0.00022,0.00158;0.00031,0.00176;6e-05,0.00151;0.00024
PD_4_1,12.4819;0.75959,13.33254;4.54431,13.83541;4.63279,11.41229;0.65225,12.52592;1.6976,12.78887;2.57041,5.41486;1.16523,4.65935;0.50589,85.00793;7.04362,6.87448;1.89583,4.38901;0.68729,69.29304;4.07984,0.0045;0.00069,0.01511;0.00138,0.00283;0.0004,0.00555;0.00071,0.01393;0.00204,0.00266;0.00028
Pdc_2021_1,215.66765;52.65777,429.65868;103.41308,616.69195;65.71369,36.29074;6.37806,69.89288;17.46812,541.9594;81.08935,339.92414;94.43199,594.84558;113.17124,521.7726;132.60519,148.5928;40.79621,127.3805;38.45909,644.87633;146.85289,1.15023;0.16338,10.49707;0.3585,0.09462;0.00225,0.16281;0.0035,1.71246;0.09701,0.06967;0.00074
PD_4_2,118.5447;35.1257,160.80127;28.67192,56.6874;15.39161,22.61838;5.83732,21.60175;5.82185,57.60062;12.26163,137.7534;22.36008,171.10066;30.2258,106.60804;25.55264,48.80944;9.09653,59.14369;7.15198,95.80964;12.81562,0.04684;0.0111,0.20653;0.00614,0.00865;0.00057,0.01032;0.00041,0.03285;0.00152,0.00647;0.00063
PD_4_3,120.59156;18.9622,210.45742;37.50598,112.98146;35.22931,18.55866;1.58305,29.19108;2.3735,71.78425;13.95809,115.44409;18.06626,166.12458;54.22318,72.99678;17.29888,45.94952;7.63539,57.4529;19.42918,93.77015;15.50978,0.11672;0.00742,0.40814;0.01498,0.01087;0.00085,0.01744;0.00156,0.06422;0.00595,0.00813;0.00021
PD_4_4,252.15804;30.04399,533.12867;96.82383,58.117;17.24681,18.61532;1.62245,22.48869;2.68759,42.1944;5.85315,253.02471;74.0286,273.02459;59.6679,80.62278;18.36455,57.01093;12.95918,39.01728;9.26109,74.75885;19.72358,0.1929;0.00551,0.7354;0.13307,0.01712;0.00104,0.01034;0.00036,0.04266;0.00846,0.00769;0.00158
PD_4_5,31.15316;1.62382,26.53235;6.94018,23.98706;5.07657,13.90561;0.69928,13.55076;0.65034,27.85741;2.14621,9.98564;0.45658,10.1811;0.41842,8.99718;0.30984,24.53695;7.48158,6.94209;0.20534,9.14902;0.3126,0.00431;0.00039,0.01929;0.00519,0.00257;0.00026,0.00244;0.00013,0.00694;0.00234,0.00209;0.00013
PD_4_6,31.15316;1.62382,26.53235;6.94018,23.98706;5.07657,13.90561;0.69928,13.55076;0.65034,27.85741;2.14621,9.98564;0.45658,10.1811;0.41842,8.99718;0.30984,24.53695;7.48158,6.94209;0.20534,9.14902;0.3126,0.00431;0.00039,0.01929;0.00519,0.00257;0.00026,0.00244;0.00013,0.00694;0.00234,0.00209;0.00013
PD_4_10,102.19979;40.99142,113.38355;33.09915,61.88533;18.59649,23.52833;2.4344,30.37221;5.12794,62.01384;17.46514,116.18589;24.88672,151.74618;26.44092,82.67269;14.26025,62.0187;20.3555,55.96646;10.89591,88.35207;19.50484,0.03152;0.00103,0.11743;0.00367,0.00688;0.0012,0.00856;0.00028,0.02822;0.00048,0.00804;0.00263
PD_5_1,104.43596;23.42378,125.93775;30.14314,91.55836;22.13917,21.42539;3.47686,20.25277;3.59494,83.10281;14.93528,117.16627;28.80384,143.59911;24.28701,130.14173;40.66735,37.30374;3.08131,51.49625;11.73129,223.37357;153.04695,0.09436;0.00899,0.4488;0.01604,0.01564;0.00217,0.02829;0.00804,0.15079;0.0088,0.01283;0.00105
PD_5_2,600.31123;262.08291,1683.13068;172.70272,641.33692;133.29427,78.36419;20.92877,142.11175;25.86378,470.64447;153.52879,669.57055;44.51505,1348.25647;482.22972,752.78581;201.54536,346.9658;74.33487,274.15337;72.04969,925.40976;169.39069,1.88591;0.32628,4.44934;0.1179,0.08069;0.00143,0.12824;0.00387,0.5148;0.01489,0.0629;0.00641
PD_5_3,1917.47453;332.90405,3079.11492;534.13692,1744.19341;313.77461,102.75764;22.29479,169.53984;25.28045,767.68363;360.02209,1472.25265;116.04294,2108.90021;376.4903,1112.47577;64.4104,429.55978;40.67922,787.35181;97.40479,927.99276;96.06321,12.42022;0.93231,37.35578;0.84976,0.38995;0.00548,0.45712;0.00656,2.45995;0.04991,0.17675;0.00527
Sepsis_log,3789.6005;935.02321,4560.85597;658.44499,411.3896;97.81714,120.60846;19.14683,135.9871;17.69523,245.34279;50.39508,1660.22168;318.74766,2257.39542;315.23618,278.25973;88.43551,237.16574;43.74344,234.48713;116.51571,463.08686;74.20407,1.8572;0.11264,4.61253;0.17486,0.04738;0.00965,0.03895;0.00025,0.15095;0.00862,0.02223;0.00066
L6,9.72255;2.98259,7.81694;0.63065,7.85833;2.12191,8.10085;1.74037,7.63993;1.28205,7.5233;0.92715,5.19497;1.7629,4.65872;1.48077,3.79358;0.44235,4.50956;1.49957,4.44881;1.16511,3.47517;0.2699,0.00552;0.01008,0.00154;0.00042,0.00095;7e-05,0.00108;9e-05,0.00102;0.0001,0.00103;0.00019
Pdc_2021_3,356.70394;92.20667,702.66962;117.8852,772.05162;133.29314,93.55411;17.63327,106.81875;32.80953,807.63398;167.13664,377.96121;84.84782,591.38822;195.08393,455.63752;152.43098,192.24269;73.33847,125.2127;34.71413,493.92699;171.12735,1.12268;0.26762,10.55349;0.38313,0.09264;0.00298,0.16;0.01033,1.58184;0.04403,0.06762;0.0018
