Act_labour,Accuracy,0.25185;0.07014,0.20123;0.0285,0.24074;0.05813,0.41481;0.0253,0.40741;0.02994,0.28765;0.02719,0.07654;0.03219,0.14321;0.05521,0.23333;0.05523,0.2963;0.09808,0.19383;0.12552,0.15802;0.06367,0.32838;0.03939,0.25928;0.04066,0.16213;0.04244,0.24821;0.04111,0.22761;0.02207,0.16619;0.02921
Act_labour,Precision,0.11218;0.07168,0.05486;0.02421,0.15871;0.02406,0.409;0.05397,0.42627;0.03258,0.21736;0.0452,0.02073;0.02626,0.02356;0.01412,0.09654;0.03619,0.2298;0.16897,0.10126;0.16203,0.03616;0.02549,0.35662;0.06054,0.28967;0.05417,0.18374;0.0425,0.37305;0.05991,0.33488;0.06027,0.32008;0.04217
Act_labour,Recall,0.25185;0.07014,0.20123;0.0285,0.24074;0.05813,0.41481;0.0253,0.40741;0.02994,0.28765;0.02719,0.07654;0.03219,0.14321;0.05521,0.23333;0.05523,0.2963;0.09808,0.19383;0.12552,0.15802;0.06367,0.32838;0.03939,0.25928;0.04066,0.16213;0.04244,0.24821;0.04111,0.22761;0.02207,0.16619;0.02921
Act_labour,F1,0.13976;0.07522,0.07504;0.01317,0.17686;0.03942,0.39066;0.0211,0.39276;0.02745,0.23542;0.03914,0.02336;0.02227,0.0401;0.02322,0.12361;0.04776,0.22967;0.1465,0.1125;0.14819,0.05696;0.03671,0.33218;0.0494,0.26301;0.0448,0.16745;0.04136,0.284;0.04275,0.25519;0.0309,0.2057;0.02752
Act_wkd,Accuracy,0.17021;0.07267,0.18794;0.08808,0.12766;0.04429,0.32624;0.04012,0.28723;0.03191,0.14894;0.08511,0.14539;0.09782,0.08511;0.08599,0.13475;0.01586,0.13475;0.06223,0.15957;0.05459,0.18085;0.06812,0.3797;0.07772,0.31082;0.0681,0.21959;0.05172,0.37937;0.08021,0.39617;0.04725,0.20884;0.07212
Act_wkd,Precision,0.19421;0.11541,0.04694;0.03076,0.09521;0.05104,0.36813;0.06601,0.33328;0.04756,0.09885;0.07898,0.05222;0.05054,0.01464;0.02768,0.02567;0.01836,0.05367;0.05717,0.02844;0.02199,0.03837;0.0273,0.40328;0.09421,0.31405;0.07722,0.221;0.05945,0.4984;0.15732,0.49896;0.0905,0.31976;0.1538
Act_wkd,Recall,0.17021;0.07267,0.18794;0.08808,0.12766;0.04429,0.32624;0.04012,0.28723;0.03191,0.14894;0.08511,0.14539;0.09782,0.08511;0.08599,0.13475;0.01586,0.13475;0.06223,0.15957;0.05459,0.18085;0.06812,0.3797;0.07772,0.31082;0.0681,0.21959;0.05172,0.37937;0.08021,0.39617;0.04725,0.20884;0.07212
Act_wkd,F1,0.1089;0.05088,0.07392;0.04722,0.09325;0.04654,0.32843;0.04708,0.29227;0.03235,0.10079;0.07029,0.06115;0.05082,0.02357;0.04309,0.0405;0.02209,0.05655;0.03961,0.0475;0.03322,0.06231;0.04122,0.3694;0.07636,0.29912;0.06759,0.20819;0.04841,0.41163;0.10033,0.41735;0.04205,0.22848;0.08687
Bpi_2012,Accuracy,0.76938;0.00465,0.76951;0.00468,0.69964;0.02129,0.75728;0.00404,0.7581;0.00349,0.72975;0.00804,0.77522;0.00051,0.77537;0.00048,0.73671;0.00062,0.75966;0.00059,0.7598;0.0013,0.74205;0.00082,0.71791;0.00224,0.71599;0.00262,0.6524;0.00153,0.72176;0.00235,0.72118;0.00166,0.6932;0.00156
Bpi_2012,Precision,0.75476;0.01006,0.74477;0.0201,0.68977;0.02249,0.74554;0.02359,0.74215;0.01954,0.71712;0.02162,0.7577;0.00732,0.76254;0.0016,0.7413;0.00256,0.7413;0.00866,0.75408;0.00252,0.73404;0.01139,0.75061;0.0073,0.7504;0.01065,0.75081;0.00879,0.77752;0.00191,0.77761;0.00227,0.76504;0.00123
Bpi_2012,Recall,0.76938;0.00465,0.76951;0.00468,0.69964;0.02129,0.75728;0.00404,0.7581;0.00349,0.72975;0.00804,0.77522;0.00051,0.77537;0.00048,0.73671;0.00062,0.75966;0.00059,0.7598;0.0013,0.74205;0.00082,0.71791;0.00224,0.71599;0.00262,0.6524;0.00153,0.72176;0.00235,0.72118;0.00166,0.6932;0.00156
Bpi_2012,F1,0.72211;0.00574,0.72391;0.00509,0.64743;0.02521,0.714;0.00589,0.71289;0.00386,0.68266;0.00465,0.72929;0.00152,0.72842;0.00075,0.69001;0.00128,0.71535;0.00111,0.71294;0.00144,0.69372;0.00335,0.70582;0.0023,0.70384;0.00244,0.66475;0.00099,0.7097;0.00238,0.70924;0.00191,0.68588;0.00056
Bpi_2012,Time,10020.36053;9184.89983,11938.28422;7944.29386,1548.80046;334.04564,726.87471;234.47307,861.29792;270.01237,3251.41647;4041.92514,4831.01569;1505.26954,4714.09387;778.31355,2184.09789;517.1277,732.13118;169.71843,824.94677;144.70005,2151.91562;638.72117,34.54806;3.7467,69.9983;1.31747,0.9644;0.03581,1.37759;0.04308,4.94073;0.32382,0.63543;0.0406
Ccc19_log,Accuracy,0.23529;0.22375,0.03676;0.0,0.1201;0.05923,0.53922;0.02426,0.53431;0.00693,0.06618;0.02617,0.25735;0.12536,0.01716;0.01511,0.05882;0.01201,0.33578;0.22706,0.04657;0.01386,0.02941;0.0,0.4695;0.03039,0.41388;0.05752,0.42696;0.04015,0.48801;0.02448,0.45855;0.06516,0.43801;0.04216
Ccc19_log,Precision,0.24204;0.24441,0.00135;0.0,0.09037;0.0616,0.58558;0.04461,0.63535;0.04262,0.01362;0.01496,0.24813;0.12333,0.00052;0.00059,0.01508;0.00778,0.38235;0.27025,0.00237;0.00142,0.00087;0.0,0.49754;0.04532,0.44782;0.06671,0.4727;0.03507,0.53174;0.04471,0.49509;0.06959,0.50857;0.08981
Ccc19_log,Recall,0.23529;0.22375,0.03676;0.0,0.1201;0.05923,0.53922;0.02426,0.53431;0.00693,0.06618;0.02617,0.25735;0.12536,0.01716;0.01511,0.05882;0.01201,0.33578;0.22706,0.04657;0.01386,0.02941;0.0,0.4695;0.03039,0.41388;0.05752,0.42696;0.04015,0.48801;0.02448,0.45855;0.06516,0.43801;0.04216
