Flyer,90.94,92.04,92.04,89.3,89.3,83.96,92.04,92.59,92.55,89.3,86.9,90.31,91.62,91.62,91.62,88.58,88.53,88.55
L2,60.42,43.81,22.4,61.68,63.09,13.1,22.78,21.75,32.63,15.8,18.47,29.83,60.19,70.53,62.89,62.05,62.9,54.86
L4,72.96,72.96,52.05,72.16,72.96,68.57,65.53,36.36,62.47,53.59,46.57,59.71,66.75,66.41,67.95,66.45,66.3,66.54
L5,70.13,65.17,19.6,66.18,62.78,14.43,35.01,27.38,39.06,30.63,26.17,31.64,70.8,76.47,73.97,64.07,61.49,66.88
Act_labour,11.22,5.49,15.87,40.9,42.63,21.74,2.07,2.36,9.65,22.98,10.13,3.62,35.66,28.97,18.37,37.3,33.49,32.01
Act_wkd,19.42,4.69,9.52,36.81,33.33,9.88,5.22,1.46,2.57,5.37,2.84,3.84,40.33,31.41,22.1,49.84,49.9,31.98
PD_3_1,52.48,28.81,5.33,59.12,81.26,5.33,24.87,4.34,5.33,13.74,5.82,5.33,98.03,97.92,0.0,97.69,98.03,0.0
PD_3_4,76.9,62.19,3.28,94.71,94.86,3.64,72.08,9.72,2.92,80.42,1.12,2.92,88.1,87.73,0.0,93.71,94.87,0.0
PD_3_6,78.27,76.58,2.36,76.83,77.17,1.2,5.49,5.49,1.2,16.65,4.78,1.2,78.42,76.78,0.0,80.44,76.83,0.0
PD_3_10,94.76,95.05,1.91,94.86,94.95,1.87,4.0,4.0,1.23,5.93,4.0,1.23,95.71,94.63,0.0,94.8,95.6,0.0
PD_4_1,79.21,67.64,0.43,72.58,73.45,0.54,4.85,1.32,0.47,13.0,1.2,0.47,78.66,75.67,0.0,74.12,73.41,0.0
Pdc_2021_0,74.65,73.2,59.02,73.97,71.97,67.32,75.82,67.97,68.86,73.79,36.4,74.15,76.5,75.55,75.94,73.26,72.97,73.35
Pdc_2021_1,75.09,72.18,67.81,74.69,70.52,67.22,76.89,74.37,77.55,73.18,38.73,77.04,76.41,76.22,76.35,73.74,73.84,74.91
PD_4_2,88.35,89.11,72.2,89.61,84.46,79.45,90.23,85.73,88.85,90.52,86.9,87.0,93.58,94.52,93.97,94.0,94.0,88.61
PD_4_3,41.85,41.84,35.39,40.09,36.07,30.68,40.53,20.71,47.29,37.65,30.69,37.78,34.32,33.49,45.81,39.12,38.93,41.11
PD_4_4,68.94,66.63,53.68,66.23,67.43,62.09,69.82,55.77,67.69,67.16,49.37,64.45,67.76,68.23,65.03,67.09,65.72,66.82
PD_4_5,83.59,73.42,66.9,84.92,83.21,67.51,4.67,2.8,10.54,69.7,0.54,0.8,82.97,85.28,84.3,79.64,80.34,71.86
PD_4_6,83.59,73.42,66.9,84.92,83.21,67.51,4.67,2.8,10.54,69.7,0.54,0.8,82.97,85.28,84.3,79.64,80.34,71.86
PD_4_10,85.74,71.26,79.01,85.51,85.74,77.85,85.87,74.83,85.83,85.63,72.06,77.79,88.37,88.63,87.22,87.77,87.79,88.33
PD_5_1,62.82,61.17,36.03,56.23,52.15,41.14,59.88,46.28,63.78,54.91,53.02,56.34,57.65,58.11,66.86,53.69,55.25,55.22
PD_5_2,63.98,67.99,59.37,60.97,59.35,50.52,67.84,63.01,67.05,61.21,59.86,53.65,67.5,67.03,71.15,59.53,59.15,49.96
PD_5_3,32.3,26.24,29.64,21.92,21.79,18.1,24.45,18.69,32.22,21.32,21.35,21.6,17.8,16.12,20.19,19.49,19.05,19.56
Sepsis_log,62.35,62.99,54.89,58.72,58.75,49.28,62.27,59.66,56.35,60.44,57.83,53.23,64.08,62.83,64.37,70.51,69.97,58.77
L6,45.73,43.5,31.16,47.48,15.73,34.27,2.21,2.1,5.52,2.38,2.04,7.7,71.25,76.67,67.64,75.83,75.0,67.64
Pdc_2021_3,74.74,73.04,62.14,74.33,70.44,61.12,76.3,72.8,77.21,73.96,44.34,74.44,76.56,77.21,78.48,74.01,73.19,74.86
Pdc_2021_4,75.95,70.6,65.41,75.83,69.95,62.75,77.88,72.66,79.15,74.27,46.02,75.46,77.43,77.98,79.03,75.39,75.48,76.96
L7,6.25,22.92,6.25,6.25,31.94,6.25,6.25,6.25,14.58,6.25,22.92,6.25,51.85,44.91,50.46,48.15,43.52,43.06
Pdc_2021_10,76.41,74.13,63.32,76.56,74.38,70.87,77.64,74.65,78.23,76.03,55.69,76.16,77.09,77.05,77.36,75.96,76.47,75.47
Helpdesk,73.48,72.46,70.98,74.76,72.43,71.77,72.96,72.39,72.57,72.58,72.56,72.34,75.8,76.17,77.07,77.37,77.84,76.76
Pdc_2021_13,74.78,73.93,50.66,74.41,73.66,65.41,76.77,73.1,78.19,74.57,55.21,75.79,77.06,76.46,77.91,75.23,75.35,75.28
Pdc_2021_11,72.09,71.89,66.3,74.33,71.41,68.19,76.12,74.24,77.87,74.32,58.72,74.6,75.59,75.83,76.75,74.0,73.74,75.24
PD_3_7,24.54,19.81,28.03,23.25,18.44,16.29,14.36,5.81,13.42,10.13,2.04,4.98,22.7,16.8,34.94,16.46,20.0,15.07
PD_4_7,27.74,22.73,26.93,12.9,9.75,12.54,16.69,9.17,31.8,12.89,5.98,14.17,16.45,14.79,31.35,11.93,11.22,11.72
PD_4_8,61.28,56.25,53.38,56.11,51.69,51.15,58.26,50.39,57.91,54.97,32.92,52.72,58.12,57.44,51.95,60.62,59.64,60.11
Running,19.5,8.44,1.88,23.08,15.21,23.17,8.38,0.62,8.39,7.5,1.56,6.0,41.11,47.08,26.67,41.94,43.33,35.69
L1_lin,55.24,31.51,6.47,55.36,53.27,5.91,1.65,1.96,2.1,2.32,1.4,1.4,60.13,58.22,61.38,61.45,61.78,60.08
L1_pll,80.65,61.02,6.69,76.86,65.09,1.4,1.41,2.36,2.25,6.56,0.93,0.49,82.78,82.78,82.78,82.78,82.78,82.78
Bpi_2012,75.48,74.48,68.98,74.55,74.22,71.71,75.77,76.25,74.13,74.13,75.41,73.4,75.06,75.04,75.08,77.75,77.76,76.5
Nasa_log,77.16,76.31,63.1,75.98,74.92,60.0,77.46,75.33,73.55,76.93,75.14,66.05,82.55,81.44,80.36,84.94,84.87,74.31
Pdc_2021_2,76.11,72.69,63.61,74.11,72.51,66.76,75.21,70.43,77.44,74.67,43.84,75.64,76.43,76.39,76.61,73.38,73.55,72.71
Ccc19_log,24.2,0.14,9.04,58.56,63.53,1.36,24.81,0.05,1.51,38.23,0.24,0.09,49.75,44.78,47.27,53.17,49.51,50.86
Pdc_2020_0,56.5,52.93,51.89,50.44,41.82,49.63,57.06,54.76,54.59,49.89,42.41,51.1,56.79,55.88,58.35,52.29,54.25,54.7
Pdc_2020_1,55.09,52.81,48.3,50.37,47.51,48.66,52.72,47.7,51.4,46.94,43.08,48.94,54.2,53.36,59.53,52.51,52.55,53.53
Traffic_fine,80.79,80.73,80.54,80.61,80.81,80.81,80.7,80.72,80.71,80.61,80.7,80.63,81.54,81.39,81.17,81.19,81.28,81.35
name,LSTM_PREPAD_ONEHOT,LSTM_PREPAD_EMBEDDED,LSTM_PREPAD_FREQBASED,LSTM_CONT_ONEHOT,LSTM_CONT_EMBEDDED,LSTM_CONT_FREQBASED,CNN_PREPAD_ONEHOT,CNN_PREPAD_EMBEDDED,CNN_PREPAD_FREQBASED,CNN_CONT_ONEHOT,CNN_CONT_EMBEDDED,CNN_CONT_FREQBASED,DT_PREPAD_ONEHOT,DT_PREPAD_EMBEDDED,DT_PREPAD_FREQBASED,DT_CONT_ONEHOT,DT_CONT_EMBEDDED,DT_CONT_FREQBASED
