Flyer,Recall,89.81,90.14,90.14,89.3,89.3,86.99,90.14,90.31,89.31,89.3,88.59,87.64,88.86,88.85,88.85,88.49,88.49,88.49
L2,Recall,60.71,54.76,39.29,65.48,63.09,23.81,39.29,40.48,45.24,39.29,39.29,46.43,58.56,62.5,56.25,58.33,56.71,49.07
L4,Recall,81.64,81.64,67.8,83.05,81.64,73.16,76.55,55.37,75.71,66.95,57.63,68.64,75.31,78.73,75.36,73.6,73.17,75.74
L5,Recall,73.96,70.83,19.79,77.08,75.0,17.71,57.29,50.0,55.21,51.04,45.83,56.25,73.94,74.39,75.91,61.36,61.06,58.03
Act_labour,Recall,25.19,20.12,24.07,41.48,40.74,28.77,7.65,14.32,23.33,29.63,19.38,15.8,32.84,25.93,16.21,24.82,22.76,16.62
Act_wkd,Recall,17.02,18.79,12.77,32.62,28.72,14.89,14.54,8.51,13.48,13.48,15.96,18.09,37.97,31.08,21.96,37.94,39.62,20.88
PD_3_1,Recall,57.69,39.74,23.08,69.23,82.05,23.08,44.87,20.51,23.08,30.77,21.8,23.08,96.06,95.83,0.0,96.06,96.06,0.0
PD_3_4,Recall,73.48,60.77,17.99,86.48,86.38,18.9,63.72,11.28,17.07,73.17,9.86,17.07,83.69,83.54,0.0,78.96,79.42,0.0
PD_3_6,Recall,77.34,76.3,14.84,77.08,76.04,10.94,23.44,23.44,10.94,31.51,21.35,10.94,69.92,72.67,0.0,69.56,72.65,0.0
PD_3_10,Recall,91.48,92.59,13.7,91.85,92.22,13.52,20.0,20.0,11.11,21.85,20.0,11.11,90.23,91.34,0.0,91.62,90.23,0.0
PD_4_1,Recall,77.74,66.44,6.51,71.8,71.58,7.31,12.9,7.88,6.85,19.63,7.88,6.85,69.64,68.77,0.0,66.9,66.55,0.0
Pdc_2021_0,Recall,79.59,78.16,64.61,79.23,77.84,74.24,79.43,72.57,72.53,79.23,42.28,79.34,75.67,75.17,75.38,73.38,73.57,73.63
Pdc_2021_1,Recall,77.89,75.74,71.24,77.56,75.36,73.15,77.78,76.33,77.7,77.29,45.05,77.42,72.84,72.58,72.44,70.61,70.71,70.59
PD_4_2,Recall,85.45,89.32,73.09,90.02,86.5,83.93,90.04,85.29,87.72,90.28,88.02,89.98,86.59,86.7,86.38,86.44,86.44,88.48
PD_4_3,Recall,47.82,46.54,39.7,46.33,42.47,35.34,40.78,26.54,47.8,43.39,32.61,40.1,29.32,27.57,30.14,25.88,25.54,21.12
PD_4_4,Recall,70.87,69.95,55.98,71.42,67.9,67.16,68.22,54.54,69.04,70.49,48.47,68.09,64.9,66.17,59.52,60.71,61.25,62.73
PD_4_5,Recall,87.26,75.05,66.67,87.05,86.41,67.52,18.58,9.66,18.05,74.42,6.79,8.92,82.77,84.05,83.89,83.58,83.41,65.24
PD_4_6,Recall,87.26,75.05,66.67,87.05,86.41,67.52,18.58,9.66,18.05,74.42,6.79,8.92,82.77,84.05,83.89,83.58,83.41,65.24
PD_4_10,Recall,88.23,78.34,81.77,87.55,88.23,75.37,88.37,77.51,88.14,87.89,75.08,75.78,87.48,87.51,89.04,88.5,88.5,69.04
PD_5_1,Recall,61.15,61.32,36.95,57.91,55.35,42.32,58.62,52.05,62.51,55.55,55.15,57.99,50.53,50.96,53.31,47.29,48.83,46.09
PD_5_2,Recall,64.5,66.22,60.29,61.77,61.03,55.05,66.39,62.95,66.29,61.48,59.88,56.39,60.03,59.83,56.85,50.4,50.56,41.12
PD_5_3,Recall,35.76,33.17,32.84,27.87,28.12,23.85,30.43,26.13,34.46,27.24,27.87,26.71,16.27,14.22,15.49,10.48,9.93,6.07
Sepsis_log,Recall,62.45,63.73,55.23,59.34,58.48,49.22,62.68,59.63,55.91,59.28,55.25,54.29,55.77,54.74,50.1,48.28,48.26,43.25
L6,Recall,54.76,52.38,30.95,57.14,26.19,42.86,9.52,14.29,14.29,11.91,14.29,14.29,72.5,81.67,77.5,77.5,76.67,77.5
Pdc_2021_3,Recall,77.59,75.05,67.58,76.57,74.74,67.46,77.5,75.08,77.84,76.44,53.02,76.61,70.34,70.39,71.91,68.41,68.51,68.98
Pdc_2021_4,Recall,77.38,75.03,71.84,76.95,74.33,68.3,77.65,75.17,77.71,77.17,52.82,77.09,71.04,71.01,72.27,69.2,69.64,70.37
L7,Recall,25.0,41.67,25.0,25.0,33.33,25.0,25.0,25.0,33.33,25.0,41.67,25.0,41.67,44.44,47.22,47.22,47.22,33.33
Pdc_2021_10,Recall,80.38,78.26,68.14,79.16,77.86,73.4,80.33,79.04,80.14,79.61,62.23,79.28,77.71,77.06,77.69,75.27,75.67,76.0
Helpdesk,Recall,80.07,79.65,78.63,80.02,78.75,78.86,80.2,79.7,79.45,79.74,79.67,79.26,78.69,78.75,77.34,78.95,78.95,78.15
Pdc_2021_13,Recall,76.97,75.13,53.57,76.83,74.24,67.34,77.46,74.38,78.11,76.69,58.09,76.67,70.78,71.04,71.67,68.2,68.47,69.03
Pdc_2021_11,Recall,74.72,75.92,69.24,77.39,74.72,70.96,78.19,76.32,77.78,77.51,62.88,77.34,70.03,68.16,69.4,68.39,70.16,70.65
PD_3_7,Recall,23.9,18.96,26.23,22.08,18.96,15.84,17.4,17.92,23.38,15.84,13.51,15.58,16.29,15.65,25.09,13.99,14.99,5.86
PD_4_7,Recall,29.1,28.02,30.99,17.81,17.78,19.22,22.79,15.8,32.67,17.48,12.4,18.59,13.98,13.0,23.36,7.1,7.03,2.93
PD_4_8,Recall,62.59,56.17,54.91,58.18,54.7,56.78,58.2,48.58,59.2,57.84,33.24,57.73,55.89,55.18,46.4,51.52,51.94,50.36
Running,Recall,20.0,22.5,7.5,35.0,32.5,32.5,10.0,5.0,22.5,2.5,7.5,10.0,46.67,50.83,33.33,42.5,48.33,45.0
L1_lin,Recall,64.39,39.39,21.21,62.88,63.64,14.39,9.09,13.64,13.64,11.36,11.36,11.36,70.38,69.83,71.51,71.51,69.83,71.53
L1_pll,Recall,85.61,63.64,18.94,81.82,68.18,11.36,10.61,14.39,10.61,12.88,9.09,6.82,88.94,88.94,88.94,88.94,88.94,88.94
Bpi_2012,Recall,76.94,76.95,69.96,75.73,75.81,72.97,77.52,77.54,73.67,75.97,75.98,74.2,71.79,71.6,65.24,72.18,72.12,69.32
Nasa_log,Recall,75.01,74.67,62.84,72.49,72.34,60.2,74.58,73.87,71.52,72.73,72.19,63.07,68.64,67.98,65.87,65.85,65.76,54.68
Pdc_2021_2,Recall,78.49,76.7,67.57,78.1,76.41,73.32,78.68,74.62,78.55,78.06,52.35,78.69,73.51,73.5,72.86,71.05,71.14,71.11
Ccc19_log,Recall,23.53,3.68,12.01,53.92,53.43,6.62,25.74,1.72,5.88,33.58,4.66,2.94,46.95,41.39,42.7,48.8,45.86,43.8
Pdc_2020_0,Recall,57.38,52.97,55.66,53.42,41.11,53.29,56.38,55.84,57.88,54.91,33.98,54.49,47.08,46.93,45.38,41.67,41.7,43.05
Pdc_2020_1,Recall,54.8,53.37,52.4,51.43,50.97,51.91,53.56,47.27,54.68,52.14,42.76,52.38,44.96,43.95,43.52,40.69,40.96,40.4
Traffic_fine,Recall,81.38,81.37,81.15,81.41,81.41,81.36,81.47,81.46,81.46,81.43,81.44,81.43,81.11,81.11,81.09,81.07,81.07,81.08
