name,metric,LSTM_PREPAD_ONEHOT,LSTM_PREPAD_EMBEDDED,LSTM_PREPAD_FREQBASED,LSTM_CONT_ONEHOT,LSTM_CONT_EMBEDDED,LSTM_CONT_FREQBASED,CNN_PREPAD_ONEHOT,CNN_PREPAD_EMBEDDED,CNN_PREPAD_FREQBASED,CNN_CONT_ONEHOT,CNN_CONT_EMBEDDED,CNN_CONT_FREQBASED,DT_PREPAD_ONEHOT,DT_PREPAD_EMBEDDED,DT_PREPAD_FREQBASED,DT_CONT_ONEHOT,DT_CONT_EMBEDDED,DT_CONT_FREQBASED
Flyer,Accuracy,89.81,90.14,90.14,89.3,89.3,86.99,90.14,90.31,89.31,89.3,88.59,87.64,88.86,88.85,88.85,88.49,88.49,88.49
Flyer,Precision,90.94,92.04,92.04,89.3,89.3,83.96,92.04,92.59,92.55,89.3,86.9,90.31,91.62,91.62,91.62,88.58,88.53,88.55
Flyer,Recall,89.81,90.14,90.14,89.3,89.3,86.99,90.14,90.31,89.31,89.3,88.59,87.64,88.86,88.85,88.85,88.49,88.49,88.49
Flyer,F1,88.97,88.75,88.75,89.3,89.3,85.11,88.75,88.64,87.93,89.3,87.59,87.67,86.91,86.91,86.92,88.5,88.5,88.5
L2,Accuracy,60.71,54.76,39.29,65.48,63.09,23.81,39.29,40.48,45.24,39.29,39.29,46.43,58.56,62.5,56.25,58.33,56.71,49.07
L2,Precision,60.42,43.81,22.4,61.68,63.09,13.1,22.78,21.75,32.63,15.8,18.47,29.83,60.19,70.53,62.89,62.05,62.9,54.86
L2,Recall,60.71,54.76,39.29,65.48,63.09,23.81,39.29,40.48,45.24,39.29,39.29,46.43,58.56,62.5,56.25,58.33,56.71,49.07
L2,F1,56.75,45.09,26.24,60.41,56.79,16.26,25.53,24.46,35.13,22.48,24.4,31.89,57.35,63.12,56.38,55.49,55.19,48.53
L4,Accuracy,81.64,81.64,67.8,83.05,81.64,73.16,76.55,55.37,75.71,66.95,57.63,68.64,75.31,78.73,75.36,73.6,73.17,75.74
L4,Precision,72.96,72.96,52.05,72.16,72.96,68.57,65.53,36.36,62.47,53.59,46.57,59.71,66.75,66.41,67.95,66.45,66.3,66.54
L4,Recall,81.64,81.64,67.8,83.05,81.64,73.16,76.55,55.37,75.71,66.95,57.63,68.64,75.31,78.73,75.36,73.6,73.17,75.74
L4,F1,76.19,76.19,57.46,76.42,76.19,69.62,69.49,42.29,67.22,57.8,49.81,62.34,69.36,70.93,69.9,68.79,68.55,69.65
L5,Accuracy,73.96,70.83,19.79,77.08,75.0,17.71,57.29,50.0,55.21,51.04,45.83,56.25,73.94,74.39,75.91,61.36,61.06,58.03
L5,Precision,70.13,65.17,19.6,66.18,62.78,14.43,35.01,27.38,39.06,30.63,26.17,31.64,70.8,76.47,73.97,64.07,61.49,66.88
L5,Recall,73.96,70.83,19.79,77.08,75.0,17.71,57.29,50.0,55.21,51.04,45.83,56.25,73.94,74.39,75.91,61.36,61.06,58.03
L5,F1,69.07,64.76,13.32,70.15,66.99,13.72,43.25,35.21,42.95,37.78,32.44,40.5,70.12,73.23,72.13,59.13,58.36,58.39
Act_labour,Accuracy,25.19,20.12,24.07,41.48,40.74,28.77,7.65,14.32,23.33,29.63,19.38,15.8,32.84,25.93,16.21,24.82,22.76,16.62
Act_labour,Precision,11.22,5.49,15.87,40.9,42.63,21.74,2.07,2.36,9.65,22.98,10.13,3.62,35.66,28.97,18.37,37.3,33.49,32.01
Act_labour,Recall,25.19,20.12,24.07,41.48,40.74,28.77,7.65,14.32,23.33,29.63,19.38,15.8,32.84,25.93,16.21,24.82,22.76,16.62
Act_labour,F1,13.98,7.5,17.69,39.07,39.28,23.54,2.34,4.01,12.36,22.97,11.25,5.7,33.22,26.3,16.74,28.4,25.52,20.57
Act_wkd,Accuracy,17.02,18.79,12.77,32.62,28.72,14.89,14.54,8.51,13.48,13.48,15.96,18.09,37.97,31.08,21.96,37.94,39.62,20.88
Act_wkd,Precision,19.42,4.69,9.52,36.81,33.33,9.88,5.22,1.46,2.57,5.37,2.84,3.84,40.33,31.41,22.1,49.84,49.9,31.98
Act_wkd,Recall,17.02,18.79,12.77,32.62,28.72,14.89,14.54,8.51,13.48,13.48,15.96,18.09,37.97,31.08,21.96,37.94,39.62,20.88
Act_wkd,F1,10.89,7.39,9.32,32.84,29.23,10.08,6.12,2.36,4.05,5.66,4.75,6.23,36.94,29.91,20.82,41.16,41.73,22.85
PD_3_1,Accuracy,57.69,39.74,23.08,69.23,82.05,23.08,44.87,20.51,23.08,30.77,21.8,23.08,96.06,95.83,0.0,96.06,96.06,0.0
PD_3_1,Precision,52.48,28.81,5.33,59.12,81.26,5.33,24.87,4.34,5.33,13.74,5.82,5.33,98.03,97.92,0.0,97.69,98.03,0.0
PD_3_1,Recall,57.69,39.74,23.08,69.23,82.05,23.08,44.87,20.51,23.08,30.77,21.8,23.08,96.06,95.83,0.0,96.06,96.06,0.0
PD_3_1,F1,50.21,30.6,8.65,61.68,79.66,8.65,30.73,7.14,8.65,17.53,8.76,8.65,96.19,95.83,0.0,96.05,96.19,0.0
PD_3_1,Time,4,20,4,3,17,,,,,,,,,,,,,
PD_3_4,Accuracy,73.48,60.77,17.99,86.48,86.38,18.9,63.72,11.28,17.07,73.17,9.86,17.07,83.69,83.54,0.0,78.96,79.42,0.0
PD_3_4,Precision,76.9,62.19,3.28,94.71,94.86,3.64,72.08,9.72,2.92,80.42,1.12,2.92,88.1,87.73,0.0,93.71,94.87,0.0
PD_3_4,Recall,73.48,60.77,17.99,86.48,86.38,18.9,63.72,11.28,17.07,73.17,9.86,17.07,83.69,83.54,0.0,78.96,79.42,0.0
